9/9/2001,2001,1,False,4,17,8,6,under,underdog,4.0,-10.5,33.5,542.0,False
9/9/2001,2001,1,False,6,6,27,24,under,favored,27.0,-1.5,37.5,564.0,False
9/9/2001,2001,1,False,9,23,26,17,over,underdog,,0.0,36.0,558.0,False
9/9/2001,2001,1,False,10,6,36,9,under,favored,36.0,-4.0,38.5,512.0,False
9/9/2001,2001,1,False,11,6,39,10,under,favored,39.0,-9.0,34.0,584.0,False
9/9/2001,2001,1,False,14,28,13,6,under,underdog,14.0,-5.5,41.5,532.0,False
9/9/2001,2001,1,False,18,21,33,3,under,underdog,18.0,-3.0,37.5,509.0,False
9/9/2001,2001,1,False,19,24,30,27,over,favored,20.0,-3.0,43.0,491.0,False
9/9/2001,2001,1,False,25,13,7,24,under,favored,25.0,-10.0,45.0,526.0,False
9/9/2001,2001,1,False,29,24,17,45,over,favored,3.0,-1.5,44.5,518.0,False
9/9/2001,2001,1,False,31,17,38,20,under,favored,23.0,-3.0,46.0,596.0,False
9/9/2001,2001,1,False,34,30,44,3,under,underdog,21.0,-2.5,36.5,563.0,False
9/9/2001,2001,1,False,35,16,2,13,under,favored,35.0,-3.5,46.0,499.0,False
9/9/2001,2001,1,False,41,23,24,31,over,favored,15.0,-6.5,34.0,554.0,False
9/10/2001,2001,1,False,12,31,28,20,over,underdog,12.0,-7.0,43.5,576.0,False
9/23/2001,2001,2,False,1,17,12,38,over,favored,12.0,-8.5,45.0,594.0,False
9/23/2001,2001,2,False,2,24,7,16,under,underdog,2.0,-3.5,41.0,517.0,False
9/23/2001,2001,2,False,8,17,25,10,under,underdog,25.0,-3.0,43.5,575.0,False
9/23/2001,2001,2,False,9,21,4,10,under,underdog,4.0,-7.0,33.5,558.0,False
9/23/2001,2001,2,False,10,24,13,14,over,underdog,13.0,-1.5,33.0,512.0,False
9/23/2001,2001,2,False,11,21,34,32,over,favored,21.0,-3.5,34.0,584.0,False
9/23/2001,2001,2,False,17,42,6,26,over,underdog,3.0,-10.0,44.5,566.0,False
9/23/2001,2001,2,False,18,13,41,6,under,underdog,18.0,-2.0,36.0,509.0,False
9/23/2001,2001,2,False,19,3,28,13,under,favored,19.0,-1.5,39.0,491.0,False
9/23/2001,2001,2,False,24,18,30,15,under,underdog,24.0,-1.5,40.0,581.0,False
9/23/2001,2001,2,False,26,3,29,10,under,favored,29.0,-1.5,38.5,514.0,False
9/23/2001,2001,2,False,35,26,38,30,over,favored,23.0,-6.0,50.0,499.0,False
9/23/2001,2001,2,False,36,3,31,27,under,favored,31.0,-2.5,37.0,527.0,False
9/24/2001,2001,2,False,14,37,44,0,under,underdog,14.0,-8.5,41.0,532.0,False
9/30/2001,2001,3,False,1,14,2,34,over,favored,2.0,-3.0,42.0,594.0,False
9/30/2001,2001,3,False,6,3,33,20,under,favored,33.0,-3.0,36.0,564.0,False
9/30/2001,2001,3,False,7,7,14,28,under,favored,14.0,-3.5,41.0,495.0,False
9/30/2001,2001,3,False,12,13,4,20,under,favored,12.0,-4.5,41.0,576.0,False
9/30/2001,2001,3,False,18,14,10,23,over,favored,18.0,-8.5,35.5,509.0,False
9/30/2001,2001,3,False,25,20,39,16,under,underdog,39.0,-2.5,39.0,526.0,False
9/30/2001,2001,3,False,26,44,17,13,over,underdog,3.0,-11.5,45.0,514.0,False
9/30/2001,2001,3,False,28,21,27,13,under,underdog,28.0,-3.0,37.0,518.0,False
9/30/2001,2001,3,False,30,38,36,14,over,underdog,20.0,-10.5,39.0,556.0,False
9/30/2001,2001,3,False,31,40,11,18,over,underdog,31.0,-13.5,34.5,596.0,False
9/30/2001,2001,3,False,34,28,9,14,over,underdog,21.0,-6.5,39.0,563.0,False
9/30/2001,2001,3,False,38,42,24,10,over,underdog,23.0,-6.0,44.0,506.0,False
9/30/2001,2001,3,False,44,13,19,45,over,favored,19.0,-3.0,35.5,510.0,False
10/1/2001,2001,3,False,29,17,35,19,under,favored,29.0,-3.0,44.5,518.0,False
10/7/2001,2001,4,False,2,3,8,31,under,favored,2.0,-3.5,39.5,517.0,False
10/7/2001,2001,4,False,4,26,41,7,under,underdog,4.0,-3.5,33.5,542.0,False
10/7/2001,2001,4,False,6,36,29,42,over,favored,29.0,-4.5,36.0,564.0,False
10/7/2001,2001,4,False,10,20,34,16,over,underdog,21.0,-3.0,35.0,512.0,False
10/7/2001,2001,4,False,12,20,19,6,under,underdog,12.0,-10.0,48.0,576.0,False
10/7/2001,2001,4,False,24,30,26,10,over,underdog,24.0,-9.5,35.0,581.0,False
10/7/2001,2001,4,False,27,28,25,15,under,underdog,27.0,-3.5,44.0,538.0,False
10/7/2001,2001,4,False,28,23,44,9,under,push,28.0,-14.0,36.0,518.0,False
10/7/2001,2001,4,False,30,28,11,21,over,favored,20.0,-18.0,41.5,556.0,False
10/7/2001,2001,4,False,31,20,1,21,push,favored,31.0,-14.5,41.0,596.0,False
